radiant_win,avg_rank_tier,radiant_teammate_0,radiant_teammate_1,radiant_teammate_2,radiant_teammate_3,radiant_teammate_4,dire_teammate_0,dire_teammate_1,dire_teammate_2,dire_teammate_3,dire_teammate_4
False,24,5,39,61,42,55,98,34,13,81,131
True,19,22,14,8,40,64,26,71,70,76,33
True,26,20,61,93,2,131,29,95,30,26,98
True,17,5,104,62,128,94,88,81,54,75,106
True,36,2,93,21,119,63,33,128,49,8,58
False,18,131,84,105,28,8,97,25,74,75,16
True,26,8,64,80,51,106,30,59,14,131,76
False,18,45,14,47,41,21,105,30,95,26,42
True,28,18,7,131,59,10,64,106,8,21,97
True,16,97,4,44,43,5,7,52,105,2,94
False,11,11,18,93,73,110,26,102,81,34,21
False,12,77,25,41,26,14,17,60,27,9,75
True,27,98,64,131,44,17,25,86,105,16,1
False,14,70,131,36,28,30,1,42,45,110,138
True,22,94,30,14,17,21,131,86,36,6,126
False,3,12,8,63,59,26,131,2,35,96,14
True,13,8,21,64,2,102,14,44,99,51,86
False,15,35,66,29,96,135,45,71,53,52,61
False,36,138,100,131,106,69,17,57,119,7,48
True,5,51,42,67,35,26,63,29,84,36,8
True,16,45,71,89,80,53,35,66,29,18,96
True,27,106,109,22,128,131,43,86,29,41,33
True,16,67,121,26,85,84,14,71,6,88,131
True,21,136,91,77,63,137,13,14,135,131,70
True,26,131,9,69,11,21,106,102,95,45,104
True,36,14,82,131,92,67,26,46,69,21,93
False,6,1,37,49,119,71,129,64,48,77,14
False,3,44,30,5,8,41,75,51,6,105,14
True,16,43,57,131,112,48,26,47,75,71,12
True,36,137,136,119,106,4,131,64,44,52,120
False,6,19,104,84,8,16,76,95,2,75,70
True,3,98,73,26,1,7,27,42,44,131,59
False,36,25,101,129,131,17,81,120,30,39,14
True,14,77,44,131,64,35,15,1,79,37,11
False,25,131,21,5,90,35,26,44,86,14,97
True,14,119,2,110,42,121,78,35,1,8,22
True,35,129,126,34,30,11,121,48,76,131,41
True,17,57,82,18,44,2,106,86,10,42,26
True,32,110,61,131,6,20,84,123,96,137,70
True,36,86,137,53,25,102,28,131,49,17,5
True,36,14,63,13,1,131,17,16,44,40,30
True,18,50,56,131,2,97,44,84,121,108,25
False,36,9,17,100,136,131,64,25,108,11,14
True,25,131,14,98,59,44,11,27,9,93,84
True,31,86,81,27,21,42,108,14,131,70,39
False,36,34,131,67,92,86,51,73,21,7,111
True,35,42,17,44,20,86,80,128,131,74,89
True,19,86,14,44,50,110,40,11,73,123,2
True,17,57,35,104,7,48,37,63,42,61,27
True,20,131,26,100,70,15,41,96,9,14,27
True,11,21,14,102,42,62,131,27,44,11,36
False,34,49,50,7,30,98,60,88,68,48,25
True,2,42,26,30,15,61,14,22,105,131,114
False,7,48,10,97,18,31,21,69,85,8,121
False,29,7,11,31,47,63,32,53,64,20,45
False,9,25,5,88,48,93,9,99,6,67,14
False,23,53,36,21,60,123,20,18,80,26,98
True,36,135,131,41,21,14,136,60,11,42,97
False,16,8,108,47,30,26,136,11,84,77,25
False,7,121,8,113,23,31,98,42,43,77,74
True,16,47,25,71,50,131,86,64,28,52,63
False,16,74,86,84,54,52,131,85,2,39,6
True,21,39,131,136,31,42,41,128,26,17,104
False,3,136,91,40,77,44,1,88,5,113,42
True,24,30,36,13,50,114,11,63,14,102,59
True,26,86,2,21,73,102,48,136,47,91,60
True,17,131,18,81,128,88,14,105,123,106,70
True,36,102,21,106,92,5,97,114,53,62,19
True,28,56,57,19,6,23,2,26,11,10,87
True,29,68,10,17,63,96,131,1,16,85,28
True,16,48,84,28,32,64,37,82,47,131,8
True,29,29,111,48,52,20,83,21,71,36,74
False,21,104,7,26,8,86,70,31,100,131,128
True,9,30,48,14,86,35,7,128,102,131,94
False,19,27,136,131,1,104,98,102,41,40,39
True,31,7,51,49,75,21,35,108,1,76,14
True,16,119,3,12,39,36,40,30,11,28,123
True,10,2,26,9,84,35,77,14,87,123,8
True,20,121,15,81,136,18,123,14,131,7,67
True,13,16,84,74,102,6,75,5,70,73,131
False,13,93,28,34,18,52,41,64,49,102,30
True,21,86,44,119,42,131,120,57,96,70,123
True,23,102,70,131,106,60,34,76,128,1,21
True,21,47,102,112,94,62,106,95,88,104,129
False,28,64,70,21,14,74,31,34,131,104,81
True,21,44,131,64,129,10,93,83,26,97,35
False,31,86,120,39,1,30,31,110,17,48,45
True,23,39,96,14,70,34,131,63,93,136,123
False,27,68,80,21,77,55,7,14,11,104,114
True,26,29,102,79,17,21,70,96,40,126,5
True,19,54,98,131,85,86,27,42,104,32,101
True,21,73,14,75,96,34,26,29,54,131,25
True,36,131,14,23,106,25,35,16,31,33,6
True,6,77,98,70,27,131,71,28,44,30,3
True,23,42,80,94,23,30,40,4,121,39,1
True,22,44,108,30,86,51,36,136,5,91,67
True,22,85,41,14,11,51,113,90,22,93,135
True,21,74,27,35,9,96,11,123,60,44,131
True,24,57,111,15,39,8,28,64,87,67,131
False,36,106,48,123,107,30,3,119,131,18,88
True,21,96,31,17,102,25,56,84,43,26,131
False,36,76,109,123,136,98,39,95,131,26,104
True,16,131,113,28,114,10,64,16,21,44,74
True,14,9,121,95,35,17,111,123,8,129,56
False,11,32,11,57,41,104,80,109,83,42,17
True,16,84,106,30,63,38,58,77,131,11,8
False,21,16,13,54,87,131,83,60,9,126,39
False,22,131,19,70,39,5,104,101,75,11,85
False,26,123,41,99,76,37,26,93,84,120,53
True,30,42,2,35,123,112,59,129,75,1,83
True,16,121,61,131,114,97,14,8,56,13,96
True,10,82,9,6,39,64,42,58,74,69,84
True,9,63,73,86,104,37,110,39,54,131,2
False,18,10,104,25,123,37,131,35,63,74,42
False,29,106,123,28,6,14,25,42,31,129,131
True,11,35,51,106,88,101,16,131,86,47,12
True,18,11,54,7,72,93,70,19,45,46,25
True,26,4,111,35,57,21,131,15,19,40,7
False,12,29,11,2,79,74,19,131,44,121,8
False,21,54,60,36,111,3,21,5,48,43,27
True,8,1,3,36,104,100,39,37,55,11,101
False,20,126,98,110,20,93,77,57,14,95,131
True,16,64,1,2,119,7,20,8,123,131,69
True,21,22,131,27,2,8,136,1,97,71,14
False,5,109,16,41,44,30,50,68,42,71,131
False,15,107,1,106,33,136,71,25,44,37,131
True,36,92,88,13,74,70,55,126,57,17,18
True,21,42,107,25,58,105,50,86,131,71,44
True,26,40,27,126,6,78,22,21,123,111,14
False,11,106,9,42,64,119,4,57,100,35,36
False,28,131,9,26,6,49,22,48,43,129,112
False,23,12,2,126,86,84,22,47,36,74,16
True,13,106,108,22,70,64,93,52,102,26,20
True,14,1,131,92,97,104,44,40,93,68,23
True,18,44,39,84,123,14,30,131,43,40,93
True,26,64,25,105,97,34,33,131,9,36,100
False,12,120,101,21,49,74,14,39,6,131,111
True,24,48,86,7,17,90,19,61,10,131,74
True,36,83,2,79,126,25,131,14,16,21,44
True,23,26,16,35,46,104,93,7,28,131,25
True,9,61,99,27,14,42,44,81,56,22,26
False,8,53,25,86,49,35,21,131,37,10,79
True,26,88,86,54,126,110,30,48,92,17,83
False,28,16,39,131,102,1,2,88,44,121,25
True,23,85,42,6,104,20,74,136,44,71,7
False,29,102,42,131,81,43,35,136,11,75,51
True,21,19,5,30,16,63,7,96,131,44,86
False,16,21,83,63,14,71,16,131,31,1,113
False,26,42,121,40,114,11,27,85,17,104,8
False,36,7,79,42,65,53,126,34,106,131,129
True,8,86,138,91,21,15,51,40,50,11,1
False,28,29,67,64,53,40,39,97,93,84,121
False,27,44,106,137,88,101,131,42,105,19,28
True,21,79,106,110,93,42,88,94,25,128,105
True,13,7,27,44,131,129,21,93,35,55,30
False,13,42,86,80,31,43,11,136,22,128,77
True,36,10,59,81,19,131,52,71,42,48,39
False,36,86,16,18,102,17,10,5,131,106,129
True,21,13,105,42,136,20,67,5,90,108,71
False,36,114,131,88,20,44,99,42,5,52,110
False,32,74,53,55,70,13,61,64,8,14,92
True,36,13,98,136,44,34,131,112,25,119,53
False,16,11,14,131,119,21,71,129,37,42,50
True,18,62,17,15,54,75,27,19,47,2,88
False,33,88,98,25,42,131,31,61,46,71,14
False,31,25,96,86,131,44,31,104,88,57,61
False,36,53,6,38,69,64,47,68,19,17,8
False,21,11,76,39,45,30,136,93,20,57,62
False,36,21,23,44,64,119,129,11,17,131,89
True,36,114,21,7,108,131,37,94,57,98,36
False,18,40,63,93,108,5,86,131,25,8,14
True,13,15,29,14,53,37,93,19,68,60,71
True,16,39,31,88,43,93,5,101,69,46,131
True,29,126,8,64,131,120,27,2,46,31,54
False,36,102,42,104,41,68,63,18,93,78,49
True,17,35,26,131,42,77,61,107,119,105,93
False,15,84,93,16,14,137,20,71,11,28,136
True,36,14,74,25,136,55,42,131,34,96,11
True,17,77,53,126,68,42,1,105,131,11,38
True,13,105,62,81,14,131,35,103,58,74,51
True,25,40,104,57,25,61,55,85,93,131,45
False,15,44,84,105,2,36,119,131,67,42,85
True,24,86,50,35,81,17,94,129,131,85,19
True,16,108,63,87,44,11,48,49,101,14,86
False,28,93,19,73,111,86,63,49,30,120,100
False,21,123,17,63,27,129,83,42,88,131,98
False,26,54,88,31,39,28,92,45,131,94,72
True,16,88,17,78,8,37,5,23,79,67,70
False,11,64,63,135,36,5,114,26,87,35,44
True,18,45,131,114,25,19,27,9,96,126,8
True,12,35,81,2,37,83,8,5,84,131,64
True,13,110,50,44,42,40,59,41,26,17,84
True,36,35,102,17,27,44,131,123,70,108,57
False,15,19,7,3,93,1,17,104,14,25,131
False,18,44,2,32,37,26,42,101,19,27,63
True,11,35,27,77,102,86,21,37,93,131,43
True,27,85,42,104,39,131,89,5,19,25,22
True,31,54,14,52,68,15,102,131,69,108,8
False,16,101,49,34,22,44,42,16,107,57,11
True,13,15,67,102,76,75,12,79,21,50,29
False,6,5,114,105,137,17,128,9,30,113,42
True,12,6,43,37,131,14,11,95,27,64,42
False,31,129,7,131,94,114,14,98,101,42,74
True,26,101,111,44,16,17,77,26,131,8,121
False,6,42,131,18,11,46,2,84,70,25,91
True,22,86,57,19,131,10,45,36,39,35,26
True,33,60,44,14,123,57,42,8,74,86,26
True,12,112,81,37,1,73,7,104,12,131,27
True,36,40,21,17,82,71,47,20,16,30,41
False,25,44,20,74,104,128,52,123,21,70,54
True,36,74,96,20,83,10,22,38,11,71,131
True,21,102,14,71,94,35,60,45,13,8,84
True,15,31,25,36,42,131,64,99,14,18,1
True,11,67,27,84,136,17,94,2,21,93,71
False,27,8,35,131,96,30,42,123,20,56,81
True,19,48,59,14,36,86,19,76,105,70,27
False,21,92,114,131,7,21,105,43,101,106,17
True,23,14,29,44,88,25,131,92,86,13,42
False,29,16,136,49,64,14,57,123,8,39,26
True,36,95,136,108,98,131,61,94,31,20,135
False,36,42,121,81,86,107,83,129,131,23,63
True,25,20,119,64,114,28,102,94,50,123,86
True,11,34,86,42,37,104,29,131,74,95,26
True,18,131,69,4,17,64,14,86,7,93,102
True,26,48,131,39,81,86,26,108,23,75,44
True,26,123,19,39,40,104,37,35,100,99,70
True,21,64,1,86,42,74,131,105,104,35,11
True,26,96,86,106,42,131,48,110,33,76,47
True,21,35,14,42,34,135,97,8,123,74,5
True,33,102,54,21,84,71,39,2,131,30,10
True,16,11,129,81,14,20,71,69,114,56,5
True,13,30,50,71,70,35,126,123,131,44,28
True,15,44,126,64,29,9,49,131,84,11,2
False,26,1,123,2,31,7,94,11,129,63,64
False,16,44,106,50,111,2,131,51,33,60,22
True,25,131,53,26,16,20,106,77,86,56,54
False,36,111,23,81,129,131,136,76,112,92,21
False,36,63,43,129,111,74,14,114,96,131,18
False,18,131,2,64,19,36,102,35,72,57,99
True,31,13,50,8,14,126,7,44,26,17,131
False,31,88,129,22,41,105,64,25,16,123,59
True,7,22,42,44,17,86,14,36,70,40,5
True,12,34,64,54,2,14,131,27,49,89,16
True,21,98,30,20,9,85,2,75,70,22,14
True,36,17,2,57,123,11,131,136,69,126,1
True,21,109,131,86,71,46,44,50,105,57,126
False,17,44,20,74,105,84,1,78,31,82,131
True,34,91,136,135,25,26,35,14,34,9,30
True,27,114,136,91,42,123,10,14,57,40,131
False,13,35,74,14,69,30,84,11,26,44,7
False,17,27,95,39,26,42,131,135,102,93,50
False,36,39,41,5,98,18,91,131,129,19,72
False,31,110,37,98,74,93,18,131,42,25,84
False,32,37,123,137,106,11,26,74,81,98,131
False,29,95,123,52,38,19,63,7,51,2,131
False,26,110,26,11,1,99,53,131,93,2,64
True,17,60,11,131,8,25,14,44,123,74,29
False,35,67,17,128,20,131,26,44,123,14,11
False,21,7,37,44,13,63,72,49,84,8,45
True,8,26,80,48,30,57,131,74,29,44,25
True,27,48,123,30,98,39,84,131,21,75,19
False,12,26,86,61,98,1,97,131,95,53,36
True,18,74,14,131,54,51,129,37,39,48,7
False,36,112,114,38,106,64,108,10,71,53,57
True,32,105,29,10,106,131,119,110,51,93,49
True,27,60,14,9,101,42,88,25,76,131,20
False,4,114,131,7,105,75,50,25,104,44,57
True,16,8,100,35,16,25,71,50,126,131,1
True,10,50,63,12,37,21,58,131,17,14,8
False,24,36,34,131,94,26,44,57,104,102,25
True,33,2,63,26,39,18,131,129,72,30,84
False,21,44,26,2,9,17,54,129,50,74,7
True,36,111,14,49,112,93,31,11,2,114,88
False,27,86,12,75,52,16,26,62,102,18,36
False,11,14,135,54,71,126,131,7,136,48,46
True,21,8,13,5,42,131,19,56,34,93,16
True,26,121,74,126,86,48,75,16,84,27,1
False,17,27,96,25,111,93,14,36,7,8,128
True,36,129,14,34,131,17,126,30,9,83,138
True,18,5,86,14,75,54,1,33,9,64,16
False,36,57,106,1,131,16,14,108,74,8,51
False,19,25,19,5,44,47,14,17,64,42,123
True,9,84,44,102,17,52,83,14,93,126,131
False,4,102,123,54,25,71,37,8,42,131,56
False,21,83,36,54,131,14,87,28,11,5,13
False,11,2,44,62,123,49,113,93,40,86,73
False,33,50,23,131,8,39,59,34,60,44,87
True,36,16,131,52,10,74,98,106,14,51,95
True,4,73,114,27,47,14,49,13,90,44,5
True,17,2,64,48,75,17,39,55,27,106,94
False,14,104,44,94,26,106,36,37,80,131,23
False,7,11,28,63,131,121,64,106,20,81,3
False,36,20,88,62,60,106,25,57,18,26,128
True,21,57,61,70,81,128,27,138,77,92,11
True,34,37,74,36,131,109,25,10,110,7,57
True,6,4,14,10,57,114,67,71,41,17,68
True,13,75,47,46,48,27,128,26,11,1,28
True,36,11,5,94,84,123,69,32,35,25,102
False,34,67,21,131,17,111,49,96,86,22,9
True,8,48,84,56,35,20,95,91,137,25,26
True,20,20,49,87,2,59,75,31,108,95,19
True,11,2,119,131,25,42,50,67,11,16,26
True,21,101,14,4,25,131,100,98,48,31,17
False,29,60,86,106,64,41,74,131,14,1,104
False,11,8,129,26,3,36,20,15,31,42,54
True,26,107,49,98,30,87,25,96,70,40,53
True,22,57,85,53,2,67,64,129,128,13,136
True,15,27,70,137,37,26,14,40,95,50,11
True,14,8,35,13,42,70,34,105,51,44,106
True,19,9,42,49,11,131,20,44,135,39,70
True,16,20,6,61,25,88,1,26,69,14,30
False,32,87,17,49,79,129,112,85,13,41,38
True,33,4,34,99,74,131,10,26,113,97,71
False,22,25,84,8,131,104,42,19,88,15,40
True,17,8,131,40,104,41,34,71,10,9,95
True,11,6,64,36,88,14,54,42,30,21,135
True,22,16,136,95,131,123,14,26,106,104,74
True,12,94,136,49,68,6,128,9,17,2,25
False,14,113,16,17,64,51,102,120,15,27,93
True,11,131,36,6,110,108,5,42,71,14,74
True,28,37,53,70,104,74,8,86,88,98,75
True,19,106,48,129,131,34,123,27,112,51,54
True,28,42,26,101,39,104,128,44,98,121,21
False,27,16,17,26,37,10,53,131,129,35,21
False,6,131,52,48,42,30,58,8,53,19,18
False,29,55,64,35,95,131,93,81,102,106,22
False,22,121,1,8,5,108,42,70,94,26,31
False,23,64,67,137,27,105,11,126,60,57,8
False,10,7,26,81,75,32,31,44,19,84,49
False,12,109,29,30,64,26,22,93,73,86,50
True,18,53,44,47,64,121,16,6,19,10,105
False,16,131,6,23,22,111,64,7,29,72,112
False,23,67,101,15,84,76,110,95,64,28,14
True,23,30,84,108,119,22,35,54,44,106,137
False,36,86,25,75,120,54,44,98,131,88,62
False,31,93,83,76,87,70,14,106,131,120,4
False,18,23,104,41,53,131,47,86,13,94,123
False,21,57,63,25,97,6,131,54,103,96,62
True,14,46,135,5,131,104,85,39,64,32,28
True,32,34,119,19,8,88,14,1,110,104,129
True,4,112,11,15,86,44,16,126,75,114,68
False,18,81,27,129,72,84,114,16,131,63,86
False,22,73,20,60,30,107,100,10,102,45,74
True,36,20,92,99,73,57,86,7,18,47,27
True,36,91,70,16,45,131,25,136,86,61,2
True,21,18,102,93,104,25,131,14,114,13,57
True,36,30,25,71,16,93,44,75,17,136,102
True,31,123,113,137,102,25,34,104,35,27,94
False,35,99,74,68,93,128,56,88,44,102,104
True,18,7,85,8,84,14,41,25,1,35,21
True,12,15,26,8,80,27,86,137,121,42,20
True,21,69,131,30,25,14,52,67,108,37,86
True,32,11,120,53,14,31,2,136,5,9,114
False,31,67,31,23,45,14,98,131,36,119,62
True,14,97,131,11,2,85,50,35,44,86,73
True,29,16,25,126,83,111,110,94,29,39,131
False,14,2,40,49,63,44,102,12,62,13,7
True,3,53,94,16,22,30,71,33,96,21,5
True,22,37,1,86,28,131,137,68,10,78,64
True,36,20,109,34,14,137,84,131,126,86,44
True,27,35,126,94,7,63,48,86,22,41,131
True,18,86,82,45,42,8,20,60,9,14,25
False,23,93,21,53,28,11,1,49,106,71,64
True,7,53,98,27,62,42,102,11,58,10,44
False,29,30,20,16,108,35,59,111,25,8,70
True,24,14,7,47,8,129,100,1,11,75,28
True,25,104,94,30,39,9,64,84,106,40,54
True,3,60,84,25,10,102,113,98,14,32,119
False,36,53,10,131,44,16,121,114,137,70,26
False,18,1,47,40,86,63,93,14,37,128,36
False,6,16,50,71,1,17,67,68,26,108,35
True,11,30,106,85,93,131,39,26,42,25,86
True,36,34,2,93,106,131,9,7,14,70,86
False,16,128,59,14,41,129,7,34,120,93,123
True,34,123,72,87,25,15,7,93,40,51,11
False,22,84,75,21,96,88,22,36,54,23,131
True,10,74,57,8,26,14,10,70,4,131,9
False,32,98,25,57,74,114,131,18,30,27,20
False,13,6,28,27,106,51,70,14,101,68,35
True,14,26,49,70,9,104,34,42,94,27,75
True,20,86,36,44,37,16,74,120,25,33,10
True,22,98,64,63,56,73,10,96,123,26,35
False,13,56,8,5,68,104,26,44,129,50,11
True,12,89,99,64,13,102,9,131,10,21,40
False,12,14,74,86,25,70,85,44,126,40,38
False,23,14,8,105,45,49,26,58,19,94,30
False,13,94,106,131,44,30,14,135,41,7,34
True,31,27,104,30,34,41,62,131,49,75,53
False,15,135,110,57,63,21,8,101,123,49,87
True,29,26,21,102,106,9,1,20,123,4,108
True,26,7,14,4,39,86,131,87,61,8,42
True,21,18,74,131,11,60,34,42,17,70,84
False,12,81,43,1,105,64,119,95,86,98,104
True,18,96,11,35,119,51,26,114,131,49,135
True,3,80,43,7,35,38,69,68,40,25,8
True,33,72,23,86,19,10,74,1,131,35,20
True,24,47,29,62,11,20,39,97,84,48,121
False,23,105,13,131,14,94,107,93,64,56,21
True,13,105,131,16,20,44,53,36,84,73,93
False,21,87,39,42,83,96,131,114,84,1,36
False,36,46,131,44,114,100,71,104,8,102,14
True,36,52,114,6,85,51,106,42,120,20,92
True,28,92,102,27,138,53,131,119,20,10,84
True,24,61,28,37,102,9,38,74,131,49,40
True,15,68,131,42,44,2,4,100,40,60,1
True,31,2,61,11,14,7,18,9,41,86,96
True,18,107,25,61,131,135,97,37,18,136,21
False,34,67,58,131,137,73,53,44,43,62,57
True,6,49,62,23,14,72,95,47,87,114,64
False,7,62,65,123,8,22,40,72,13,14,15
True,17,52,104,88,8,113,17,131,30,97,67
True,27,7,131,59,67,42,62,93,15,14,98
True,5,98,47,71,131,10,22,109,74,59,35
True,23,62,131,104,53,49,2,35,75,29,44
True,19,131,105,44,2,22,35,71,50,9,104
True,19,88,11,54,37,129,44,131,49,26,47
False,34,55,51,79,45,94,8,102,121,25,2
True,24,58,108,34,6,11,30,48,21,39,29
True,27,36,63,97,131,123,6,106,121,84,20
False,35,108,110,131,95,106,119,62,86,13,53
False,21,64,8,16,30,99,6,136,17,129,131
False,8,26,53,21,49,114,136,44,86,16,131
True,32,29,131,49,21,27,33,37,98,110,8
False,21,17,26,81,5,9,88,97,39,84,114
False,14,9,44,2,131,104,74,84,64,7,95
True,19,95,78,120,123,35,131,104,14,74,44
False,36,19,30,18,39,44,21,20,64,22,104
True,22,47,14,25,102,93,70,31,11,28,26
True,6,31,5,44,61,70,85,9,19,46,6
False,9,40,7,128,41,120,113,68,93,131,16
True,16,93,14,86,6,16,31,39,2,8,111
True,11,80,50,74,55,44,33,5,70,18,11
False,36,31,126,128,96,70,137,1,20,21,131
False,17,126,5,16,8,26,68,86,9,2,39
False,23,25,49,74,23,26,44,86,50,20,14
False,18,17,104,30,41,131,88,50,19,98,11
True,9,44,19,131,59,51,126,52,88,35,106
False,31,60,90,93,131,26,96,34,138,5,39
False,21,49,39,131,4,63,1,123,34,86,28
False,7,14,17,11,123,104,42,3,71,68,74
False,16,19,39,129,25,9,14,6,81,11,110
False,16,123,100,96,23,63,106,104,62,131,42
False,12,104,26,70,105,123,35,54,114,62,27
False,24,14,29,71,18,69,94,11,87,126,102
True,16,100,36,39,111,114,26,104,67,20,13
True,27,41,60,83,113,110,26,44,27,104,19
False,21,41,35,26,14,8,28,64,131,49,94
False,21,29,35,40,86,8,17,51,75,44,62
True,14,5,22,28,8,136,26,53,6,19,20
False,22,119,96,8,11,53,10,68,94,131,20
False,30,36,86,5,28,114,8,129,40,15,20
True,35,8,22,137,17,86,13,131,112,89,47
False,6,80,46,104,59,29,77,100,6,106,47
True,31,35,61,10,92,91,29,19,51,126,66
False,36,98,75,50,25,95,65,84,53,57,49
False,14,5,36,1,11,7,131,20,29,138,35
True,36,126,108,131,49,62,13,136,88,25,9
True,36,57,61,29,64,15,35,60,67,111,123
True,36,62,104,83,21,74,131,48,76,88,129
False,14,1,121,7,131,11,14,13,80,25,18
True,28,21,86,69,88,93,136,84,53,114,20
True,16,64,93,41,98,84,12,30,22,31,120
False,32,16,71,22,25,1,39,5,94,96,65
False,26,37,51,2,26,8,126,110,131,56,14
True,15,40,119,57,70,82,49,30,42,113,107
False,10,34,86,95,18,131,84,104,25,44,26
False,32,77,47,15,5,34,26,70,22,85,14
False,13,47,99,14,119,10,27,131,18,57,93
True,36,87,1,34,2,25,71,48,20,14,86
False,27,119,57,21,129,82,74,16,14,25,84
True,28,42,84,2,131,67,35,8,9,75,19
True,27,98,48,87,50,47,102,53,44,99,73
True,21,69,131,5,10,11,64,114,88,42,9
False,36,61,21,53,131,40,99,111,137,9,11
False,5,30,98,27,17,93,36,8,84,45,2
True,13,42,21,40,123,80,35,54,71,22,10
False,13,86,27,114,2,33,39,104,75,44,50
False,28,76,55,86,22,42,17,128,20,21,102
True,21,31,8,131,97,35,107,93,89,113,41
False,27,36,14,39,12,31,131,15,63,86,121
False,36,114,68,57,11,69,102,2,48,128,131
False,14,19,30,93,131,126,26,8,92,106,89
True,36,126,31,2,40,70,41,111,69,76,88
True,22,57,15,22,92,23,104,136,84,9,25
True,36,55,73,68,9,14,43,34,25,57,63
True,14,27,41,81,95,123,70,60,1,104,77
False,11,30,131,19,49,95,21,33,80,54,27
True,17,86,114,22,14,23,6,78,11,123,52
True,17,131,10,84,114,26,135,71,5,52,6
True,15,37,7,121,14,49,35,87,40,70,76
True,13,44,2,41,111,40,8,73,22,35,71
True,18,123,45,71,67,35,25,26,131,23,21
False,22,94,21,60,14,131,20,34,99,44,62
True,36,98,18,84,106,131,92,74,105,114,16
True,11,44,131,34,76,16,32,104,121,113,26
True,6,2,37,44,105,76,38,25,40,49,70
False,15,11,84,16,2,19,111,90,126,4,86
False,36,19,16,89,33,10,21,22,138,70,34
True,19,62,21,20,70,43,47,114,131,85,36
True,14,131,67,21,18,26,74,90,73,14,114
True,18,99,84,101,6,126,76,98,25,64,7
True,17,71,94,8,26,13,111,76,129,1,88
True,13,20,35,99,94,131,14,114,104,64,11
False,11,73,30,86,59,84,93,14,131,63,110
False,32,17,53,14,18,27,25,7,131,34,120
True,36,21,30,23,26,106,131,59,53,110,16
